sentence,relation,head,head_offset,tail,tail_offset
武藏（日文︰ムサシ，英文︰Jessie）是火箭队的一员，她是三人组的领导者。她和她的同伙小次郎、喵喵总是跟着小智一行人，企图抢走小智的皮卡丘，但从没成功过。在宝可梦 太阳＆月亮的阿罗拉联盟的宣传影片中，她被称为战场的女演员（暂译，日文︰戦場のアクトレス）。,敌对,小智,54,武藏,0
在传达吧波导！小智跟不可思议的蛋!!中，空木博士出现在樱木研究所的屏幕上，樱木博士小智和小豪介绍了空木博士关于宝可梦的蛋的研究成果。,伙伴,小豪,44,小智,41
充满危险！小次郎的藏宝箱!!中，因为猛火猴挖到了小次郎小时候埋下的宝箱，那里面藏有他小时候写给鲁美嘉的情书，小次郎害怕鲁美嘉拿这个要挟他结婚，所以他想尽办法想夺回宝箱，后来他的管家又叫来了鲁美嘉，走投无路的情况下小次郎要求小智让皮卡丘用十万伏特将他和武藏、喵喵打飞，小智同意了，但是在他们被打飞时，鲁美嘉却冲了过去，和小次郎还有喵喵一起飞上天空，把他吓得魂飞魄散。,敌对,皮卡丘,114,喵喵,128
空木博士出现在若叶镇，吹起开启之风的城镇，当天乔伊要为送给新人训练家的小锯鳄检查身体，他细心地在用显微镜看细胞时，把进入研究所的火箭队当作乔伊，而小锯鳄咬着武藏的头发不放。过后，他寻求了君莎的帮助。在小智一行人遇见了空木博士时，他为小刚介绍了他所研究的宝可梦理论。,伙伴,君莎,93,小智,100
在四天王科拿，冰之战斗中小智一行人在小橘子岛上听说科拿要举行一次演讲，小霞作为科拿的崇拜者十分激动，并且尊称她为“科拿大人”。而小智也十分高兴地向科拿发起挑战，但似乎被科拿忽视了。不久小智的喷火龙和其他训练家对战时失控，科拿派出呆壳兽轻松制服它，随后科拿告诉小智他的培育还不够，训练家要根据宝可梦做出行动，并邀请小智一行人参加她的演讲以及观摩她的宝可梦示范战。事后，小智坚持要和科拿比赛，科拿接受了挑战并毫无悬念地赢得了比赛，随后科拿告诉小智要让宝可梦和训练家的心联系在一起。,拥有,科拿,110,呆壳兽,114
在愤怒之湖中，阿响和阿渡潜入火箭队基地，探究导致红色暴鲤龙出现的奇怪电波。他和阿渡通过宝可齿轮来联络。,位于,阿渡,10,愤怒之湖,1
赤红是来自真新镇的一位有好奇心的少年。在对宝可梦产生兴趣之前，赤红和青绿是儿时玩伴，但长大后青绿的性格变得有些强势。在冒险的第一天，赤红会去大木研究所选择最初的伙伴。之后在常青市赤红会收到友好商店店员托付的包裹，让他转交给大木博士，送到后博士会将里面的宝可梦图鉴托付给赤红和青绿，并希望他们能捉到所有种类的宝可梦，实现完成宝可梦图鉴的梦想。,来自,赤红,0,真新镇,5
在四天王之战后，娜姿前往白银山的特别温泉治疗，碰到了同样前来疗伤的小智，期间问起小智他的伊布的情况，在疗伤完毕离开时，她将指引未来的念力汤匙交给了小智。后在关都城都道馆馆主对战中，娜姿派出魔墙人偶以压倒性的实力战胜了阿笔。,拥有,娜姿,90,魔墙人偶,94
青绿是一个自傲的男孩，自认是世界第一的宝可梦训练家。青绿似乎并不是很喜欢他的爷爷大木博士。,亲戚,青绿,26,大木博士,40
在VS镰刀盔中，小茜观看了小刚和阿蜜的对战赛。接着，在VS猫头夜鹰中，小茜和小霞的对战就开始了，大奶罐的滚被小霞的宝石海星轻松躲开了，接着小霞的宝石海星又用高速旋转命中大奶罐，最后用一发破坏光线直接带走了小茜大奶罐，赢得了比赛的胜利。,挑战,小刚,13,阿蜜,16
赤红跟青绿在帕希欧竞技场观众席观看小结、艾莉丝和阿驯的队伍对战风露、大叶和阿塞萝拉的队伍。,伙伴,风露,31,阿塞萝拉,37
在VS派拉斯中，小刚和小霞、夏伯以及莉佳帮助被理科男困住的小黄，但理科男却丝毫不畏惧地对小刚等人进行攻击，不过小智的皮卡和小黄的嘟嘟和小拉达联手操控混凝土打败了理科男，小刚和小霞堵住了想要逃跑的理科男的退路。但理科男依旧没放弃挣脱，让卡拉卡拉丢出带有毒粉的骨头回力镖想要带走四位道馆馆主，好在皮卡丘和小拉达配合才将其彻底击垮。接着，小刚与众人探测到了小智气息的所在地就是玉虹市北边的月见山。这时，菊子操控鬼斯想要带走理科男，小刚和众人一样派出了宝可梦想要阻止，不过都没起效，这时小黄醒来派出皮卡留住了理科男，但是不死心菊子又趁着小刚等人和小黄交流时再次想要掳走理科男，不过被赶到的小茂拦下了，鬼斯也被,拥有,小黄,61,嘟嘟,64
在小智结束了丰缘联盟彩幽大会的比赛后，火箭队跟随他来到关都的对战开拓区，而小次郎在这其中也来到自己金黄市的别墅，在魔尼尼登场！休息之馆！中将病得很重的风铃铃留在了家中，并且收服了魔尼尼。武藏参加华丽大赛时，他会帮武藏加油，有时候还会应武藏的要求去给她的对手造成一点麻烦。,拥有,小次郎,37,魔尼尼,89
在不要哭，好坏星！中，小次郎遇到了好坏星的初恋对象兼前辈——一只紫色触手的好坏星。这只好坏星因为误会小次郎欺骗了它的“爱哭鬼”后辈而愤怒地攻击他，甚至进化成超坏星使他中了剧毒，直到第二天才解毒。在被穿着熊救回基地后，小次郎因为希望好坏星获得幸福，告诉武藏和喵喵他决定放生好坏星，这让好坏星心绪不宁而离家出走。第二天，在好坏星被一只毒刺水母袭击时，小次郎及时赶到救了它，试图将它推到超坏星前辈那里，并狠心地说了一些话想让它离开，好坏星为此而哭泣，这让超坏星十分不满，要求和小次郎决斗。小次郎答应了它的请求，甚至在对战中依靠自己的毅力解毒，最终他们打得精疲力尽躺倒在沙滩上并成为了朋友，而此时小次郎也明白,敌对,毒刺水母,165,好坏星,159
在最终决战XIII中，巴奥巴和他的员工们也一起把宝可梦通过宝可梦寄放系统传送到桧皮镇的宝可梦中心来帮助图鉴持有人们战胜假面男。,来自,假面男,59,桧皮镇,39
赤红跟青绿在帕希欧竞技场观众席观看小结、艾莉丝和阿驯的队伍对战风露、大叶和阿塞萝拉的队伍。,伙伴,大叶,34,风露,31
在四天王科拿，冰之战斗中小智一行人在小橘子岛上听说科拿要举行一次演讲，小霞作为科拿的崇拜者十分激动，并且尊称她为“科拿大人”。而小智也十分高兴地向科拿发起挑战，但似乎被科拿忽视了。不久小智的喷火龙和其他训练家对战时失控，科拿派出呆壳兽轻松制服它，随后科拿告诉小智他的培育还不够，训练家要根据宝可梦做出行动，并邀请小智一行人参加她的演讲以及观摩她的宝可梦示范战。事后，小智坚持要和科拿比赛，科拿接受了挑战并毫无悬念地赢得了比赛，随后科拿告诉小智要让宝可梦和训练家的心联系在一起。,挑战,小智,64,科拿,73
赤红在冒险里展开了旅程，并捕捉了皮卡丘。之后他的皮卡丘就一直跟在他身边。,拥有,赤红,0,皮卡丘,16
成为著名女演员的娜姿和她的胡地在宝可梦好莱坞再次出现。在VS秃鹰丫头 电影大惊奇中，训练家学校的女学生们正在宝可梦好莱坞挑选电影。当白慈正在推辞的时候，在一旁出现的娜姿认为白慈的心中有点迷茫，主动提出帮她做决定。娜姿的胡地攥住白慈的手腕，并把一把命运的折弯汤匙塞进她的手中。白慈还来不及拒绝，命运的折弯汤匙就开始摆动，然后朝着剧目表的方向折弯，指向了哈奇酷侠这部作品。娜姿表示这部作品一定会为她指出方向。,拥有,娜姿,106,胡地,109
武藏在迷路就走上人生的岔路!?武藏与果然翁!!中被伟特医生救起，并对他产生感情，甚至为此考虑退出火箭队，但最后因为听到小次郎和火箭队的宝可梦们被宝可梦猎人袭击，加上意识到伟特医生心有所属，最后还是回归，借助果然翁和小智一行人的帮助打败了猎人。在迈向明日的三回合劲敌对战!!里，她从翔太笔记本里看到大吾的照片后也对大吾表现出一些痴迷，甚至后来见到他本人时显得很激动。,敌对,宝可梦猎人,72,武藏,0
了好坏星和超坏星的心意，决定好好照顾好坏星。最后，毒刺水母再次准备袭击好坏星和超坏星时，小次郎上前和它搏斗并将它甩飞，这让超坏星也迷上了他。在末尾宝可问答的花絮里显示，小次郎让超坏星回到大海而未收服，武藏说这也算好事，因为要是好坏星和超坏星一起用毒刺扎他的话，他的身体会受不了的。,出没,超坏星,88,大海,93
空木博士是大木博士的晚辈。他的研究课题是“宝可梦培育与宝可梦的蛋”，皮卡丘居然有进化前形态也是他第一个发现的，蛋群也是他研究出的。此外也研究宝可梦的特性和进化，大木博士曾称赞空木博士是宝可梦进化的顶尖研究人士。最近也有研究带在身边走的宝可梦。空木博士的研究所旁就是他的家，他的妻子和孩子一起住在那，他的孩子长大后想像他的父亲一样成为宝可梦博士。,伙伴,大木博士,80,空木博士,87
小刚是小智挑战的第一位道馆馆主，他十分的强大但不懂得变通，训练学生的方式也十分严厉导致很多学生都离开了深灰道馆，只剩下露营少年一人了。在深灰市中，小刚接受了小智的挑战，小智派出火属性的小火龙与小刚的大岩蛇对战，这让小刚感到吃惊，小刚表示他就算面对小孩子也不会防水的。最后，小智的小火龙发现了小刚大岩蛇的弱点，打败了小刚，小刚给予了小智灰色徽章。,挑战,小智,165,小刚,160
在四天王之战后，娜姿前往白银山的特别温泉治疗，碰到了同样前来疗伤的小智，期间问起小智他的伊布的情况，在疗伤完毕离开时，她将指引未来的念力汤匙交给了小智。后在关都城都道馆馆主对战中，娜姿派出魔墙人偶以压倒性的实力战胜了阿笔。,位于,娜姿,8,白银山,12
在大奶罐，复仇之战中，小智等人一整天都帮忙照顾牧场的大奶罐。在打败来牧场行窃的火箭队的桶状的机器人之后，小智灵光一闪想到了打败小茜的大奶罐的对策，于是再次向小茜提出对战请求，他先后使用小锯鳄和火球鼠降低大奶罐的速度，最终用皮卡丘成功击败了大奶罐。虽然这场对战是在道馆外进行的，但小茜依然承认了自己的败北，赠与小智标准徽章。,拥有,小智,52,火球鼠,96
武藏在迷路就走上人生的岔路!?武藏与果然翁!!中被伟特医生救起，并对他产生感情，甚至为此考虑退出火箭队，但最后因为听到小次郎和火箭队的宝可梦们被宝可梦猎人袭击，加上意识到伟特医生心有所属，最后还是回归，借助果然翁和小智一行人的帮助打败了猎人。在迈向明日的三回合劲敌对战!!里，她从翔太笔记本里看到大吾的照片后也对大吾表现出一些痴迷，甚至后来见到他本人时显得很激动。,敌对,武藏,0,宝可梦猎人,72
在谢谢你索尔迦雷欧！我们的小星云!!中，她参加了库库伊博士和芭内特博士的婚礼。,亲戚,芭内特博士,30,库库伊博士,24
来到森林时，他们与莉佳、大姐姐和迷你裙的队伍进行对战并获胜，得到了稳重徽章。莉佳后来也加入他们的队伍。,伙伴,莉佳,9,大姐姐,12
在浅红市中，小智来到浅红市误以为长得很像呆呆兽的园长和正辉一样，是和宝可梦合体了，以为才知道，原来园长原来就长得是这般模样。员工还告诉小智，园长的金假牙掉了，这之后小智在狩猎地带里找到了金假牙还给了园长。原来是阿桔偷走了园长的假牙，园长告诉小智阿桔是个比谁都爱自然的人，因为园长把原先的忍者村改建成狩猎地带，所有原本的宝可梦没有了去处。这之后，巴奥巴表示会听取阿桔的意见，把原先的宝可梦也放进去，这种友谊让小智联想到了小茂。,伙伴,小智,203,小茂,209
当空木博士拜托他去住在吉花市北边的宝可梦爷爷那里跑一趟时，阿响的旅程开始了。考虑到他可能会在路上遇到危险的野生宝可梦，空木博士还送给了他一只最初的伙伴来防身。临走时，阿响看到一个和他同岁的奇怪男孩正在空木博士研究所外偷窥。当他想要跟他说话时，男孩粗鲁地推开了他。在宝可梦爷爷的家里他还遇到了大木博士。大木博士看出阿响与宝可梦之间的牵绊，交给了他宝可梦图鉴。在回家的路上，阿响遇到了偷走空木博士的宝可梦的小银。在战斗中击败他后，阿响得知了他的名字并告诉若叶镇的警察。空木博士鼓励他去挑战石英高原。,伙伴,空木博士,59,阿响,83
在VS派拉斯中，小刚和小霞、夏伯以及莉佳帮助被理科男困住的小黄，但理科男却丝毫不畏惧地对小刚等人进行攻击，不过小智的皮卡和小黄的嘟嘟和小拉达联手操控混凝土打败了理科男，小刚和小霞堵住了想要逃跑的理科男的退路。但理科男依旧没放弃挣脱，让卡拉卡拉丢出带有毒粉的骨头回力镖想要带走四位道馆馆主，好在皮卡丘和小拉达配合才将其彻底击垮。接着，小刚与众人探测到了小智气息的所在地就是玉虹市北边的月见山。这时，菊子操控鬼斯想要带走理科男，小刚和众人一样派出了宝可梦想要阻止，不过都没起效，这时小黄醒来派出皮卡留住了理科男，但是不死心菊子又趁着小刚等人和小黄交流时再次想要掳走理科男，不过被赶到的小茂拦下了，鬼斯也被,拥有,菊子,198,鬼斯,202
在金黄市将火箭队从西尔佛公司赶走之后，门外右边会出现一位君莎小姐，对话后获得警察套装。,位于,君莎小姐,28,金黄市,1
在新的大地！新的冒险!!中，小次郎和武藏、喵喵为了捕捉皮卡丘而来到了丰缘地区。在古代宝可梦与神秘军团！，他们与坂木取得了联络，在得到了坂木让他们在丰缘地区树立起火箭队名声的任务后，他们便开始期盼成为火箭队丰缘地区的分部长。,出没,皮卡丘,27,丰缘地区,34
小霞跟黑连和可尔妮组成队伍，他们跟阿渡、大吾、竹兰的队伍进行对战。,伙伴,小霞,0,黑连,3
亚希达先生与对战开拓区！中，丰缘联盟结束后，小智在回真新镇的途中路过常青市，他发现道馆已经整修完毕，于是一时兴起便想再次挑战常青道馆，结果发现道馆馆主暂时由菊子接任。战斗采1对1，小智使用皮卡丘，菊子则使用耿鬼，耿鬼在使出催眠术之后接著使用食梦便结束了这场比赛，由菊子取得胜利。虽然小智战败，但他的实力仍得到菊子的肯定。菊子表示，在找到下一任常青市道馆馆主之前暂时由她担任道馆馆主的职位。之后火箭队三人组突然出现抢夺皮卡丘，菊子出手帮助，并使用大嘴蝠与皮卡丘合力打跑火箭队。,拥有,小智,90,皮卡丘,94
《Ｘ／Ｙ》中的这位妈妈是卡鲁穆或是莎莉娜的母亲，名叫萨琪（日文︰サキ，英文︰Grace）。,亲戚,卡鲁穆,12,萨琪,26
在消失的宝可梦之谜，君莎告诉小智一行人金柑岛内的宝可梦行为变得异常，会攻击自己的主人。但自己的鬼斯没有任何变化，她怀疑是超能力属性宝可梦在作乱。在四人一起发现了在道路上的火箭队后，火箭队原不肯和君莎合作，但为了让自己的宝可梦恢复原状，他们告诉君莎这是亚马多和小三郎的阴谋。火箭队把君莎和小智等人混入装有精灵球的推车内进入电波发射塔来破坏他们的恶行，君莎派出了鬼斯抵挡对方的攻击，在催眠装置破坏之后，鬼斯又与催眠貘进行了战斗，但由于在对战中催眠貘和波克比一起使用了挥指引发了自爆，最终亚马多和小三郎被君莎抓捕归案。,伙伴,小三郎,129,亚马多,125
赤红就此展开旅程，不断挑战道馆馆主获得徽章。在旅程中，赤红还会遇到以盗取他人宝可梦为目的的邪恶组织火箭队。在月见山，赤红会遇到以偷取化石为目的火箭队手下。打败他们后来到华蓝市，可以从警察那里得知出现了小偷把居民的家打了一个大洞，赤红调查后发现这也是火箭队做下的勾当。途径海角小屋的赤红会遇到不小心把自己变成宝可梦的正辉，在帮他恢复原样后，正辉会赠送赤红船票表示感谢。接到船票的赤红可以从枯叶港登上圣特安努号。,敌对,赤红,58,火箭队,71
火箭队也看上了无畏小子，打算拉他入伙，不料却被其打飞。之后小智与信彦前往无畏小子常来的地方，信彦与无畏小子进行了对战，结果信彦的快拳郎和飞腿郎都被它击败。信彦被打败后，火箭队绑走了无畏小子。但是信彦徒步追上了火箭队的气球并徒手打破了气球，气球撞击山体导致巨石崩塌，他为了让无畏小子再次相信人类，使出全力帮它挡住巨石。在打败了火箭队后，信彦亲自上场与无畏小子进行格斗，大胜无畏小子。最后，信彦收复了无畏小子，并把自己手臂上的红色围巾给无畏小子戴上，换下了原本破烂的蓝色围巾。同时他也收复了猴怪和火暴猴。,拥有,信彦,61,快拳郎,64
获得16枚徽章后，星期二夏伯会在红莲镇出现，他会告诉主角他的宝可齿轮号码。如果在星期二白天打电话给他的话，他会前往格斗道场等待再战。得到号码后，星期四可以在红莲镇和他合影。,位于,夏伯,12,红莲镇,16
赶走呆呆兽之井的火箭队后，走到桧皮镇左边路口时他会出现，挑战主角。在烧焦塔内也会遇到他。主角到浅葱市时能看见他从道馆出来，并说“那个柔弱的道馆馆主”不在。湛蓝市的诚儿对主角说有个“和你差不多大、头发有点长、眼神犀利的人”抢走他一只心爱的宝可梦，即小银，这只宝可梦就是他队伍中的狃拉。,来自,诚儿,81,湛蓝市,77
在卡拉卡拉中，在枯叶道馆里马志士用雷丘和赤红进行道馆赛并最终被打败了，最后将橙色徽章交给了赤红。战斗的过程并没有展示出来。,拥有,马志士,13,雷丘,17
在VS腕力中，小刚联络上了夏伯，告诉他和小黄自己在月见山后发现了破碎的小智冰雕，这就是小智曾经在这里的证据。并且小刚听说过小智和小茂在西尔佛公司也曾被冰冻过，不过目前看来小智应该是已经顺利逃脱了。这是，小霞联络夏伯告诉他深灰市遭到格斗属性的宝可梦进攻了，并且自己所在的华蓝市和莉佳所在的玉虹市也都遭到了幽灵属性和冰属性的宝可梦攻击，此时联络的信号已经断了，小刚听到消息立刻和小拳石一起赶回深灰市。在VS墨海马中，小刚继续在对抗入侵城市的宝可梦们。,伙伴,小刚,7,夏伯,13
《钻石／珍珠／白金》中的这位妈妈是光辉或是小光的母亲，名字叫彩子（日文︰アヤコ，英文︰Johanna）。,亲戚,彩子,30,小光,21
莉佳在坂木与赤红进行了道馆战，被击败后送出了彩虹徽章。,挑战,赤红,6,莉佳,0
获得16枚徽章后，星期六、日15:00-17:00，莉佳会在玉虹市的喷泉处与阿蜜谈话，阿蜜对于自己过于普通不出色这件事感到有些苦恼，结果被莉佳诱导她批评小椿的服装。同时她也会告诉主角她的宝可齿轮号码。如果在星期日早晨打电话给她的话，她会前往格斗道场等待再战。得到号码后，星期一可以在玉虹市和她合影。,位于,莉佳,26,玉虹市,30
在GOTCHA!中，持有大竺葵、火暴兽及大力鳄的小银与琴音相遇。,拥有,小银,24,大竺葵,12
在警犬卡蒂狗，火箭队利用臭臭弹和变声器来命令她的卡蒂狗攻击小智一行人和她，在卡蒂狗经过她的感化之后，战胜了火箭队。,敌对,火箭队,7,小智,29
，但因为顾着讲话忽略了脚下结冰的地板向前滑去，众人想帮忙小茜，但都追不上小茜，小茜派出大奶罐粉碎了结冰的地板，这才停了下来。这时，柳伯从结冰的地板的尽头的一扇门坐着轮椅出来，并跟小茜道歉，小茜对眼前这个瘦小的老头是道馆馆主这件事情诧异万分，并且觉得柳伯称会有粗暴的侵入者才设置了结冰的地板是自作多情，根本不会有人来这里的。在柳伯的邀请下，小茜走入门内，看见了许许多多的冰雕，这时小茜在小胡桃的提醒下，看见了水君的冰雕。小茜表示柳伯看起来已经是风烛残年，才不是水君的对手，所以只好刻了一个水君的冰雕来聊以自慰。但这时，水君动了起来。宝可梦协会的会长告诉小茜柳伯很可能已经跟水君对战过且败给了柳伯并且遭到,拥有,小茜,39,大奶罐,43
成为著名女演员的娜姿和她的胡地在宝可梦好莱坞再次出现。在VS秃鹰丫头 电影大惊奇中，训练家学校的女学生们正在宝可梦好莱坞挑选电影。当白慈正在推辞的时候，在一旁出现的娜姿认为白慈的心中有点迷茫，主动提出帮她做决定。娜姿的胡地攥住白慈的手腕，并把一把命运的折弯汤匙塞进她的手中。白慈还来不及拒绝，命运的折弯汤匙就开始摆动，然后朝着剧目表的方向折弯，指向了哈奇酷侠这部作品。娜姿表示这部作品一定会为她指出方向。,拥有,娜姿,8,胡地,13
阿桔曾是火箭队三干部之一，曾是浅红市道馆馆主。 阿桔曾经前往双子岛捕捉急冻鸟，并在几番波折之后成功。 苏芳岛决战之后被希巴所救。 和小茂有很深的羁绊。 假面男被打败之后，阿桔和曾经都是邪恶组织成员的希巴、一树以及梨花结为同盟。后来他们以城都新四天王的身份在心金·魂银篇登场。,伙伴,阿桔,85,梨花,106
莉佳是帕希欧的WPM关主之一，与大姐姐和迷你裙组队，在森林里与阿齐、小刚和鸣依的队伍进行对战。结果阿齐的队伍获胜，她赠出了稳重徽章。莉佳后来也加入他们的队伍一起踏上旅程。,伙伴,阿齐,31,鸣依,37
武藏（日文︰ムサシ，英文︰Jessie）是火箭队的一员，她是三人组的领导者。她和她的同伙小次郎、喵喵总是跟着小智一行人，企图抢走小智的皮卡丘，但从没成功过。在宝可梦 太阳＆月亮的阿罗拉联盟的宣传影片中，她被称为战场的女演员（暂译，日文︰戦場のアクトレス）。,拥有,武藏,0,喵喵,48
在帕希欧竞技场赤红跟青绿和叶子组成队伍，与来挑战的小结、小光、满充和莉莉艾组成的队伍进行对战，并让他们的宝可梦进行超级进化。,挑战,叶子,13,小结,25
在帕希欧竞技场赤红跟青绿和叶子组成队伍，与来挑战的小结、小光、满充和莉莉艾组成的队伍进行对战，并让他们的宝可梦进行超级进化。,伙伴,满充,31,莉莉艾,34
菊子是记录上最年长的四天王，因此她对关都地区年长的训练家们起到了鼓舞作用。她使用幽灵属性宝可梦和那些有着骇人外表的宝可梦。年轻时的菊子与大木博士、钢铁都是好朋友。那时大木博士是一位实力强劲的训练家，总是帮助性格乖僻的菊子，每次菊子都想赶他走，但是宝可梦对战又赢不了大木博士，久而久之而菊子似乎迷恋上了大木博士。然而，随着时间的流逝，大木博士把精力都投入了研究事业，菊子认为这导致他的对战实力大减，感觉背叛了她。菊子的脾气十分暴躁。,伙伴,菊子,65,钢铁,73
青绿跟赤红在帕希欧竞技场观众席观看小结、艾莉丝和阿驯的队伍对战风露、大叶和阿塞萝拉的队伍。,挑战,阿驯,24,风露,31
武藏（日文︰ムサシ，英文︰Jessie）是火箭队的一员，她是三人组的领导者。她和她的同伙小次郎、喵喵总是跟着小智一行人，企图抢走小智的皮卡丘，但从没成功过。在宝可梦 太阳＆月亮的阿罗拉联盟的宣传影片中，她被称为战场的女演员（暂译，日文︰戦場のアクトレス）。,伙伴,武藏,0,小次郎,44
浅红市当地人戏称巴奥巴为“呆呆兽”，因为他看起来跟呆呆兽一样呆滞。尽管如此，巴奥巴在宝可梦方的面知识十分渊博，还收藏着一些稀有的宝可梦化石。他管理着狩猎地带，他和浅红道馆的道馆馆主阿桔是很好的朋友。,伙伴,巴奥巴,38,阿桔,90
空木博士出现在若叶镇，吹起开启之风的城镇，当天乔伊要为送给新人训练家的小锯鳄检查身体，他细心地在用显微镜看细胞时，把进入研究所的火箭队当作乔伊，而小锯鳄咬着武藏的头发不放。过后，他寻求了君莎的帮助。在小智一行人遇见了空木博士时，他为小刚介绍了他所研究的宝可梦理论。,敌对,空木博士,108,小智,100
阿桔和娜姿是宝可梦趴地牌模式中第三战的对手。,伙伴,阿桔,0,娜姿,3
在名侦探君莎，蛋不见了，大搜谜，君莎在小智的蛋被偷后来到宝可梦中心破案，尽管她自称名侦探，但她的破案太过武断而且她的推理没有任何作用。之后她、小智一行人、乔伊遇见得到小智的蛋的袋兽，袋兽把蛋还给了小智，并和小智一起击败了来偷蛋的火箭队。,伙伴,君莎,16,小智,19
赤红跟青绿在帕希欧竞技场观众席观看小结、艾莉丝和阿驯的队伍对战风露、大叶和阿塞萝拉的队伍。,挑战,小结,17,阿塞萝拉,37
与其他地区不同，阿罗拉地区一座岛屿就只有一名君莎小姐，她们的伙伴宝可梦也并不相同。 美乐美乐岛的君莎小姐在霸主宝可梦是猫鼬探长！中首次登场，她正在因为阿罗拉的样子的拉达和小拉达破坏田地而烦恼。它们在逃跑时冲到了路上撞翻了一辆装载木头的车，引发了交通堵塞。最终在哈拉和铁掌力士的帮助下才堆好了木头，疏通了交通。当小智完成霸主宝可梦猫鼬探长的考验后，她带着猫鼬探长和猫鼬少来到一个拉达和小拉达泛滥的仓库，赶跑了它们。在结尾，君莎与猫鼬探长成为了同伴。,友好,拉达,188,小拉达,191
在不要哭，好坏星！中，小次郎遇到了好坏星的初恋对象兼前辈——一只紫色触手的好坏星。这只好坏星因为误会小次郎欺骗了它的“爱哭鬼”后辈而愤怒地攻击他，甚至进化成超坏星使他中了剧毒，直到第二天才解毒。在被穿着熊救回基地后，小次郎因为希望好坏星获得幸福，告诉武藏和喵喵他决定放生好坏星，这让好坏星心绪不宁而离家出走。第二天，在好坏星被一只毒刺水母袭击时，小次郎及时赶到救了它，试图将它推到超坏星前辈那里，并狠心地说了一些话想让它离开，好坏星为此而哭泣，这让超坏星十分不满，要求和小次郎决斗。小次郎答应了它的请求，甚至在对战中依靠自己的毅力解毒，最终他们打得精疲力尽躺倒在沙滩上并成为了朋友，而此时小次郎也明白,友好,好坏星,159,超坏星,190
青绿是大木博士的孙子，有个姐姐叫奈奈美。他自尊心很强，对自己的实力有着绝对的自信，目标是成为最优秀的训练家。,亲戚,大木博士,3,青绿,0
空木博士是大木博士的优秀学生，两人经常讨论宝可梦研究的问题。不过，空木博士的指导内容多冗长且多余。在小智与大木博士通话时，空木博士常会迫不及待地向大木博士介绍自己的新成果，结果说的相当冗长，让小智一行人很尴尬。,伙伴,小智,96,空木博士,61
在谜拟Ｑ的画皮！中，火箭队三人组再次捕捉皮卡丘失败，他们被卡奇和爆焰龟兽的超强极限爆焰弹击飞，而武藏和谜拟Ｑ一同掉落到购物广场。武藏发现谜拟Ｑ的画皮破了，她强压惊惧想将谜拟Ｑ收回球中，但对方却不愿意。为了让谜拟Ｑ进入精灵球，武藏决定和谜拟Ｑ一起享用马拉萨达，然而她刚把买好的马拉萨达从纸袋中拿出，空中就杀出三只黑暗鸦将马拉萨达抢走了。武藏在吓跑了黑暗鸦后注意到了自己手中的空纸袋，于是她心生一计，暂时把这个空纸袋当作谜拟Ｑ的画皮使用。武藏带着谜拟Ｑ来到时装店，她不断给谜拟Ｑ变换造型，却让谜拟Ｑ越发生气。武藏不理解谜拟Ｑ生气的原因，但她在意识到谜拟Ｑ很重视皮卡丘样子的画皮后，便帮助谜拟Ｑ修补好了画皮,敌对,谜拟Ｑ,117,黑暗鸦,155
莉佳是帕希欧的WPM关主之一，与大姐姐和迷你裙组队，在森林里与阿齐、小刚和鸣依的队伍进行对战。结果阿齐的队伍获胜，她赠出了稳重徽章。莉佳后来也加入他们的队伍一起踏上旅程。,伙伴,阿齐,31,小刚,34
莉佳是帕希欧的WPM关主之一，与大姐姐和迷你裙组队，在森林里与阿齐、小刚和鸣依的队伍进行对战。结果阿齐的队伍获胜，她赠出了稳重徽章。莉佳后来也加入他们的队伍一起踏上旅程。,伙伴,小刚,34,鸣依,37
登入名人堂后，科拿曾一度返回家乡冰冻岛，以防火箭队的入侵，此时不能挑战石英高原。她会在冻瀑洞窟最深处协助主角解决火箭队手下，之后会暂时留在家中。把红宝石和蓝宝石都交给宝可梦网络中心的锦辉后，科拿会返回石英高原。,位于,科拿,95,石英高原,100
在四天王科拿，冰之战斗中小智一行人在小橘子岛上听说科拿要举行一次演讲，小霞作为科拿的崇拜者十分激动，并且尊称她为“科拿大人”。而小智也十分高兴地向科拿发起挑战，但似乎被科拿忽视了。不久小智的喷火龙和其他训练家对战时失控，科拿派出呆壳兽轻松制服它，随后科拿告诉小智他的培育还不够，训练家要根据宝可梦做出行动，并邀请小智一行人参加她的演讲以及观摩她的宝可梦示范战。事后，小智坚持要和科拿比赛，科拿接受了挑战并毫无悬念地赢得了比赛，随后科拿告诉小智要让宝可梦和训练家的心联系在一起。,挑战,小智,183,科拿,189
